Period,Total
18-Jan,735065
18-Feb,675694
18-Mar,786560
18-Apr,779993
18-May,813120
18-Jun,827449
18-Jul,860394
18-Aug,852231
18-Sep,765883
18-Oct,802520
18-Nov,755760
18-Dec,773006
19-Jan,752033
19-Feb,684435
19-Mar,820015
19-Apr,796045
19-May,830471
19-Jun,837507
19-Jul,870862
19-Aug,867233
19-Sep,785535
19-Oct,821381
19-Nov,773057
19-Dec,806532
20-Jan,785059
20-Feb,738791
20-Mar,677200
20-Apr,226584
20-May,263857
20-Jun,289343
20-Jul,440340
20-Aug,472688
20-Sep,409437
20-Oct,445188
20-Nov,460655
20-Dec,477908
21-Jan,460961
21-Feb,406650
21-Mar,554383
21-Apr,569343
21-May,626113
21-Jun,685362
21-Jul,736428
21-Aug,731071
21-Sep,671453
21-Oct,694369
21-Nov,684438
21-Dec,680372
22-Jan,642700
22-Feb,600396
22-Mar,709684
22-Apr,695696
22-May,726736
22-Jun,727283
22-Jul,761765
22-Aug,750215
22-Sep,699697
22-Oct,717132
22-Nov,682017
22-Dec,681766
23-Jan,688742
23-Feb,644310
23-Mar,745469
23-Apr,722189
23-May,758462
23-Jun,758799
23-Jul,790005
23-Aug,795578
23-Sep,736015
23-Oct,769871
23-Nov,730798
23-Dec,745386
24-Jan,700424
24-Feb,684006
24-Mar,776081
24-Apr,763540
24-May,799363
24-Jun,809961
24-Jul,836908
24-Aug,817738
24-Sep,759852
24-Oct,790603
24-Nov,749091
24-Dec,774063
25-Jan,719081
25-Feb,682600
25-Mar,813767
25-Apr,790004
25-May,819356
25-Jun,834445
25-Jul,864466
25-Aug,836356
25-Sep,759847
25-Oct,811943
25-Nov,753982
25-Dec,784379
