Country,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Total arriving passengers,"12,646","20,262","24,155","42,712","41,236","45,084","47,353","49,558","52,991","56,820","60,315","62,856","66,755","72,206","65,476","62,926","63,324","71,282","75,593","78,150","81,068","80,998","76,290","80,817","83,865","87,439","91,787","96,415","102,562","108,285","113,959","119,957","122,563","32,261","48,553","95,160","119,583","130,098","128,714"
United States carriers,"6,502","10,031","11,798","21,960","21,639","23,878","25,356","26,133","27,321","29,023","29,958","31,014","32,627","35,287","32,634","32,186","32,803","37,763","41,043","42,946","45,187","45,533","42,460","45,219","46,339","47,285","48,719","50,183","51,707","52,460","54,297","56,051","57,863","17,607","30,777","51,634","61,803","65,712","65,254"
Foreign carriers,"6,144","10,231","12,357","20,752","19,597","21,207","21,997","23,425","25,670","27,797","30,358","31,842","34,128","36,919","32,841","30,739","30,521","33,519","34,550","35,204","35,881","35,465","33,830","35,598","37,526","40,154","43,068","46,232","50,855","55,825","59,663","63,905","64,701","14,654","17,776","43,526","57,780","64,386","63,460"
Canada,N,N,N,"6,733","6,144","6,447","6,504","6,419","7,026","7,702","8,099","8,435","8,662","9,176","8,509","8,464","8,540","9,692","10,373","10,846","11,037","11,033","10,263","11,098","11,603","12,103","12,780","13,412","13,779","14,211","14,938","15,831","15,973","3,458","2,578","10,536","14,364","15,892","14,412"
Mexico,"1,626","2,886","2,719","4,735","4,904","5,151","5,276","5,481","5,190","5,986","6,498","6,855","7,255","7,928","7,316","7,120","7,517","8,810","9,524","9,646","9,921","9,847","8,538","9,076","9,190","9,592","10,414","11,106","12,759","13,818","14,849","15,339","15,397","7,064","14,733","17,551","18,827","20,126","20,185"
United Kingdom,"1,549","2,973","3,460","5,229","4,751","5,542","5,827","5,941","6,371","6,917","7,569","8,410","8,943","9,485","8,393","8,273","8,229","8,999","9,074","9,354","9,326","8,961","8,124","7,856","8,341","8,494","8,566","8,702","9,115","9,424","9,769","10,444","10,708","1,895","1,407","7,470","9,819","10,114","9,947"
China/Taiwan,50,113,206,360,500,575,731,967,"1,078","1,152","1,227","1,260","1,384","1,548","1,517","1,525","1,235","1,620","1,891","2,069","2,255","2,154","1,959","2,308","2,549","2,796","3,161","3,627","4,219","5,133","5,505","5,794","5,819",817,184,560,"2,012","3,034","3,286"
Germany,622,"1,175","1,582","2,321","2,312","2,704","2,796","2,811","3,006","3,083","3,329","3,441","3,677","3,904","3,430","3,355","3,650","4,139","4,448","4,668","5,019","5,083","4,861","5,040","5,086","5,097","5,261","5,203","5,199","5,316","5,519","5,272","5,564","1,127","1,542","4,256","5,087","5,355","5,328"
Japan,"1,095","1,624","2,435","5,416","5,112","5,534","5,441","5,849","6,663","7,165","7,423","7,067","7,332","7,679","6,585","6,392","5,713","6,620","6,874","6,497","6,117","5,703","5,232","5,489","5,218","5,873","5,974","5,784","5,580","5,618","5,434","5,337","5,494","1,243",524,"1,862","4,252","4,838","4,952"
France,512,689,955,"1,746","1,607","1,897","1,865","2,009","2,025","2,175","2,288","2,429","2,613","3,212","3,026","2,842","2,730","2,983","3,187","3,180","3,122","3,178","3,003","2,983","3,148","3,107","3,254","3,301","3,494","3,480","3,767","4,096","4,397",749,"1,111","3,563","4,395","4,649","4,529"
Dominican Republic,336,468,606,878,796,930,"1,045","1,114","1,090","1,130","1,155","1,260","1,405","1,578","1,487","1,411","1,706","1,868","2,026","2,156","2,145","2,075","2,154","2,337","2,313","2,548","2,703","3,030","3,336","3,432","3,449","3,737","3,895","1,613","3,771","4,336","4,980","5,259","5,307"
Netherlands,312,427,583,903,931,"1,040","1,265","1,406","1,515","1,771","1,999","2,130","2,316","2,403","2,178","2,138","2,085","2,226","2,348","2,286","2,381","2,491","2,182","2,172","2,244","2,250","2,376","2,367","2,470","2,491","2,657","2,903","3,105",665,858,"2,507","2,880","2,931","2,878"
South Korea,105,234,390,849,871,"1,027","1,106","1,306","1,431","1,611","1,629","1,146","1,191","1,454","1,269","1,259","1,221","1,405","1,460","1,538","1,695","1,731","1,678","1,912","2,102","2,300","2,496","2,665","2,852","3,056","3,374","3,330","3,079",782,556,"1,727","3,078","3,473","3,528"
Spain,306,312,419,584,497,637,608,616,642,660,696,763,857,939,831,793,791,865,873,869,"1,009","1,125","1,201","1,338","1,467","1,397","1,328","1,387","1,500","1,624","1,819","2,152","2,455",350,489,"1,958","2,345","2,784","2,835"
Brazil,212,300,352,635,670,702,776,909,"1,087","1,234","1,371","1,382","1,205","1,369","1,137",992,964,991,"1,128","1,157","1,207","1,315","1,432","1,736","1,991","2,217","2,483","2,688","2,710","2,267","2,263","2,551","2,304",566,466,"1,450","1,994","2,214","2,168"
Italy,431,537,662,745,669,872,883,956,959,"1,010","1,035","1,047","1,206","1,511","1,265","1,064","1,018","1,279","1,339","1,395","1,508","1,425","1,330","1,371","1,334","1,282","1,303","1,491","1,586","1,654","1,739","2,003","2,244",189,385,"1,702","2,371","2,721","2,947"
Jamaica,457,429,707,991,927,973,"1,044","1,056","1,118","1,140","1,190","1,194","1,213","1,313","1,254","1,239","1,265","1,317","1,361","1,541","1,437","1,448","1,423","1,493","1,555","1,561","1,564","1,634","1,729","1,828","1,933","2,053","2,227",794,"1,451","2,137","2,517","2,393","2,205"
Colombia,173,315,279,297,286,314,349,397,441,480,580,598,650,699,679,597,608,670,723,790,854,915,985,"1,149","1,127","1,245","1,400","1,467","1,583","1,673","1,683","1,915","2,052",689,"1,862","2,412","2,671","2,914","2,858"
Ireland,220,220,274,349,277,411,391,440,445,552,597,573,754,847,801,686,833,906,"1,084","1,151","1,214","1,220","1,102",997,"1,026",959,"1,074","1,159","1,268","1,438","1,636","1,887","1,924",306,268,"1,555","1,854","1,991","2,129"
Panama,97,150,180,199,209,198,210,239,240,236,268,313,336,384,374,369,379,405,442,489,567,656,710,772,856,"1,048","1,182","1,370","1,428","1,517","1,620","1,829","1,874",412,"1,060","1,613","1,815","2,102","2,252"
Hong Kong,98,228,270,348,356,444,492,541,633,666,665,687,689,709,722,698,511,777,987,"1,081","1,134","1,110","1,042","1,148","1,168","1,210","1,191","1,407","1,500","1,643","1,688","1,968","1,827",237,96,152,688,"1,051","1,375"
Australia,106,227,277,456,503,475,471,448,513,569,565,573,633,808,699,687,650,724,796,851,875,794,982,"1,111","1,188","1,262","1,360","1,360","1,447","1,502","1,553","1,637","1,662",359,62,739,"1,117","1,162","1,120"
The Bahamas,758,"1,123","1,503","1,033",906,691,786,743,825,876,814,"1,087","1,191","1,281","1,219","1,216","1,454","1,493","1,565","1,580","1,519","1,405","1,270","1,303","1,223","1,327","1,246","1,296","1,302","1,325","1,353","1,531","1,660",392,742,"1,163","1,454","1,519","1,452"
Switzerland,236,312,452,617,528,550,595,665,714,769,812,944,991,"1,067",921,722,693,706,715,727,821,828,804,923,972,"1,002","1,030",998,"1,034","1,085","1,139","1,245","1,255",218,285,930,"1,325","1,349","1,373"
Israel,84,189,294,148,154,196,242,280,357,395,338,418,478,513,371,331,356,469,529,623,681,646,665,740,714,697,710,698,703,696,737,800,878,259,469,917,971,647,728
Philippines,108,194,145,224,259,265,274,272,279,294,301,217,259,348,344,361,328,395,404,409,433,431,410,457,427,417,417,414,408,478,518,524,626,259,121,440,579,679,680
Cayman Islands,25,121,173,145,252,262,313,329,338,345,342,364,353,365,346,306,299,290,200,303,336,358,326,334,349,351,376,403,415,419,449,505,546,132,21,305,463,475,477
Denmark,222,267,241,326,256,269,269,254,227,221,248,206,206,225,236,314,319,341,309,350,383,376,315,335,302,265,308,430,435,533,535,527,504,68,88,369,503,619,663
Belgium,144,242,281,469,388,339,396,368,364,400,522,622,708,752,600,275,276,355,379,365,441,568,536,556,569,547,565,602,615,426,461,483,474,95,152,402,479,485,435
Haiti,91,133,192,244,221,154,199,120,297,298,281,300,319,296,303,341,364,302,283,303,390,420,415,419,487,547,517,562,594,610,616,616,465,229,301,244,276,175,48
Bermuda,398,497,434,482,430,406,443,440,406,421,416,404,397,382,328,332,310,338,338,367,380,342,320,307,302,294,302,284,283,315,334,351,339,61,105,192,236,248,244
Greece,121,208,187,117,63,114,146,181,206,221,188,184,180,194,134,112,98,128,133,162,208,220,176,158,138,88,61,77,104,141,214,252,304,16,220,451,515,619,714
Barbados,76,135,216,270,257,213,221,229,260,244,268,226,201,214,216,231,233,255,257,260,236,224,197,219,223,212,202,193,225,256,277,280,293,75,86,203,240,303,314
Venezuelab,205,533,248,411,470,566,652,679,763,657,709,791,866,806,730,588,478,636,661,609,605,551,474,537,589,657,736,499,428,463,373,319,60,0,0,0,0,0,2
